nom,comment,pays,niveau,cout
Salade de pommes de terre froide,Moi je vais accompagner mon rôti de porc d'une salade de pommes de terre froide et d'une salade de roquette. Succès garanti!,allemagne,Facile,1.23
Salade de pommes de terre froide,Je vais tenter cette recette la semaine prochaine et je compte l'accompagner d'un jarret de porc et d'un bon vin. J'espère épater la famille avec ce plat.,allemagne,Facile,1.23
Salade de pommes de terre froide,Idéal pour les jours d'été. J'aime bien accompagner cette petite salade d'oeufs durs et d'échalotes.,allemagne,Facile,1.23
Salade de pommes de terre froide,"Moi, je fais cette recette depuis longtemps et j'y ajoute divers ingrédients selon l'inspiration du moment. Pour le vin, nul besoin d'utiliser du Riesling !... Je fais cette salede avec un vin de table bon marché et le résultat est plus que satisfaisant",allemagne,Facile,1.23
Salade de pommes de terre froide,J'ajoute du basilic et de l'ail...,allemagne,Facile,1.23
Salade de pommes de terre froide,Je fais aussi cette salade mais j'y ajoute des oeufs durs !!! Un délice !,allemagne,Facile,1.23
Salade de pommes de terre froide,Bonjour je vai essayer de faire la salade mai lail on le co7pe comment et on le mai kan svp merci de me repondre asser vite merciiiiiiii,allemagne,Facile,1.23
Salade de pommes de terre froide,"Tout à fait d'accord (je suis vosgienne). En hiver, on peut y ajouter du cervelas coupé en rondelles.",allemagne,Facile,1.23
Salade de pommes de terre froide,"Pour revenir à mon commentaire précédent sur ""l'alsaciennisation"" de la recette, remplacer l'huile d'olive par de l'huile de pépins de raisin pour faire plus couleur locale !",allemagne,Facile,1.23
Salade de pommes de terre froide,"Pour donner un côté ""alsacien"" à cette salade de pommes de terre, ajouter à la vinaigrette des échalotes hachées et des cornichons découpés en rondelles. Cette recette avec la base de marinade dans le vin blanc (Riesling là-bas bien sûr...) m'a été donnée par une alsacienne lors d'un séjour dans cette belle région de France.",allemagne,Facile,1.23
Sauce allemande,Avec quoi servez-vous cette sauce ?,allemagne,Facile,0.48
Schwobenbradele ou petits sablés allemands maison,Amandes moulues = poudre d'amande ou juste concassées ? Le résultat n'est pas le même !,allemagne,Intermédiaire,0.67
Schwobenbradele ou petits sablés allemands maison,Amandes moulues avec la peau (râpe grille fine robot),allemagne,Intermédiaire,0.67
Semmelknödel (boulettes de pain allemandes),"Bonjour a tous, fait avec du lait de coco et de la persillade. Grillé à la plancha en galette. Tout le monde a apprécié. Merci pour cette recette.",allemagne,Facile,0.0
Strudel aux pommes,"Etant allergique à l'amande, je la remplacerai par de la noisette. Autrement, j'aimerais bien l'essayer.",allemagne,Facile,0.97
Strudel aux pommes,"Recette parfaite, 
Vite fait bien fait !
Parfaitement partagée ! ",allemagne,Facile,0.97
Strudel aux pommes,"Pour le pliage : j'ai mis l'appareil au centre en forme de rectangle, puis ave un couteau fait des lanières de chaque coté , que j'ai redisposé par dessus l'appareil, puis enduit de jaunes d'œuf.",allemagne,Facile,0.97
Strudel aux pommes,"J'adore la cuisine et encore plus la pâtisserie... mais j'avais tellement peur de me lancer avec le strudel.. cette pâte hyper difficile à faire.  Mais il faut se lancer et hop ! Que c'est bon ! J'ai concocté ma petite version, sans crème fraîche et au lieu des amandes je rajoute des noix. J'ai fait un petit mélange avec la recette que j'ai trouvé sur ce blog de voyage https://www.leglobetrotteur.fr/magazine/recette-strudel-aux-pommes/
Bon appétit",allemagne,Facile,0.97
Strudel aux pommes,"pas nécessaire de badigeonner avec jaune d oeuf, mais plutôt beurrecela cuit au debut comme une omelette",allemagne,Facile,0.97
Strudel aux pommes,JE ne comprend pas le pliage,allemagne,Facile,0.97
Strudel aux pommes,"Bonjour, je voudrais faire cette recette mais je n'ai pas compris le principe du pliage de la pâte.Pouvez m'expliquer cette phase de la recette ?",allemagne,Facile,0.97
Strudel aux pommes,Étendre le mélange de pomme et de raisins secs sur la moitié inférieure du Étalez la pâte en un rectangle en laissant environ 2 cm d'espace le long des bords latéraux. Plier la moitié supérieure de la pâte feuilletée et pincer pour sceller les bords ensemble.,allemagne,Facile,0.97
Strudel aux pommes,je le fais souvent et c'est toujours un succes,allemagne,Facile,0.97
Strudel aux pommes,super recette! ,allemagne,Facile,0.97
Strudel aux pommes Apfelstrudel,Quelle taille et quelle espèce de pommes ? En tout cas les quantités des ingrédients étaient bien trop faibles pour mes 3 pommes. Et il manque le jus de citron pour éviter aux lamelles de pommes de s'oxyder. ,allemagne,Facile,0.97
Linzertorte ou tarte Linz,"Je suis satisfait de ma recherche comme ceci, je pourrai la transmettre à mon boulanger.",autriche,Facile,0.8
Pain de viande  simplissime,"Un délice, j'ai mis de la biscotte au blé  complet à la place du pain de mie. Merci pour cette recette.",autriche,Facile,1.63
Pain de viande  simplissime,Un grand merci pour ces commentaires sur cette recette! L’équipe de CuisineAZ a travaillé sur cette recette pour que vous puissiez vous régaler et partager cette recette en famille ou entre amis avec encore plus de plaisir! On attend vos nouveaux commentaires!,autriche,Facile,1.63
Pain de viande  simplissime,"très bon mais moi perso, je place deux ou trois oeufs durs (selon la taille du pain de viande ) à l'intérieur avec qques tranches de jambon cru sur le dessus et ensuite je le roule et le cuit comme il est dit , surprise assurée !!!!",autriche,Facile,1.63
Pain de viande  simplissime,"Pour ma part facile, un peu long en préparation et pas chère.Le ketchup par contre, je l'ai préparé maison avec du concentré de tomate, que j'agrémente à mon gout, et que je peux épicer à mon gout.

Le plat au moment ou je vous écris est au four, et il me tarde de le gouter.

En tous cas, cru, déjà, c'est tout simplement hummmm.
Donc cuit, j'ose imaginer ce gout subtil.

Merci pour cette simple mais très bonne recette.",autriche,Facile,1.63
Pain de viande  simplissime,avec des pâtes et de la sauce tomate sa serais tres bon aussi en accompagnement.,autriche,Facile,1.63
Pain de viande  simplissime,"Bonjourj'ai trouvé la recette bonne mais j' ai rajouté  1 oeuf,du cumin ,et du paprika ",autriche,Facile,1.63
Pain de viande  simplissime,se plat se fait aussi avec du veau rien de nouveaux a l ouest recettes des annee 1970 dans les livres des super boites en plastiques,autriche,Facile,1.63
Pain de viande  simplissime,Perso je mélange avec le bœuf haché un peu de chair à saucisse et je prépare une sauce béchamel au fromage pour napper.,autriche,Facile,1.63
Pain de viande  simplissime,"je fais depuis 35 ans une recette similaire: reste de rôti (quelque soit la bête), avec ail, plein d'herbes, plus d'oeufs, ça fait un peu soufflé épais, et servi chaud avec un coulis de tomates fraîches. Avec une salade, voir du riz si vous avez des ogres à table, c'est un repas complet et équilibré!",autriche,Facile,1.63
Pain de viande  simplissime,"ma préparation ne se mixe pas dans le robot,ça bloque...que faire ?avez-vous une astuce ? merci",autriche,Facile,1.63
Pain de viande  simplissime,"Bjr,Je n'ai jamais utilisé que mes mains pour émincer les ingrédients et tout pétrire.
Comme le pain vous donné une légèreté à la préparation
",autriche,Facile,1.63
Pain de viande  simplissime,"chez nous en Algérie , trés précisemment à Oran , on l'appele ( Menguina ) !!! Seulement la recette est différente !! On mets de la viande hachée + 1 gros oignon hachée + mie de tremper qu'on fait tremper dans de l'eau et qu'on essore bien -sûr au moment de l'emploi + persil + sel , poivre , un peu de noix de muscade râpée , on ramasse tout ça avec 2 ou bien 3 oeufs , selon la quantité de la viande hâchée , ensuite on prend un moule à cake beurrer , on met la préparation , mettre de l'huile dessus et piquer là avec un couteau pour que l'huile ça s'imprégne bien . On met à cuire au four , une fois la viande hachée cuite , on allume le grilloir  pour la faire dorer dessus , ça se mange chaude , coupé en tranches sur un lit de salade verte comme ça se mange froide , seulement il faut couvrir le cake de viande hâchée de papier d'aluminium si vous partez en pique - nique . Il ne me reste plus qu'à vous souhaiter une bonne appétit . Faiza d'Oran ( Algérie ) .",autriche,Facile,1.63
Pain de viande  simplissime,"C'est un peu juste pour 4 personnes. 500 gr. de boeuf haché, c'est mieux et s'il en reste, froid c'est très bon. Moi, je rajoute une cuillerées à café de ras-el-hanout dans la préparation.",autriche,Facile,1.63
Pain de viande  simplissime,"Recette suculante et très facile à faire, pas cher du tout ; rapide.L""accompagner d'une bonne salade frisée croquante garnie de petites tomates cerises ( rouges ou jaune ou oranges ou les 3 pour donner de la couleur)  avec quelques dés de gruyére (facultatifs);. J'ai ajouté un filet de vinaigre balsamique sur  les crudités, ce qui relève les parfums de viandes et crudités.
C'EST UN DELICE ET VOUS AVEZ UN PLAT COMPLET TRES SAVOUREU X ET
APPRECIE DE TOUS.  BON  APPETIT.  
BOISSON CONSEILLEE : UN ROUGE COTE DU RHONE VIEILLE VIGNE DE
2O11 Médaillé d'OR en 2O11;
Attention = l'abus d'alcool nuit gravement à la santé. Boire avec modérations

ESSAYEZ ET VOUS M'EN DIREZ DES NOUVELLES. MERCI

J'attends vos commentaires. MERCI.
",autriche,Facile,1.63
Pain de viande  simplissime,"   A  Annie : DU 5 JUILLET 2O13
J'AII AJOUTE AU PATE 2 GROSSES D'AIL ECRASEES
CELA RELEVE LES AROMES DE LA VIANDE
(AIL facultatif pour ceux qui n'aime pas)

A  BIENTOT  Annie.

CONTACTER-MOI. merci",autriche,Facile,1.63
Pain de viande  simplissime,Vous le mangez froid ou chaud?,autriche,Facile,1.63
Pain de viande  simplissime,Il ne manquerait un oeuf a votre recette?,autriche,Facile,1.63
Pain de viande  simplissime,l'oeuf y est,autriche,Facile,1.63
Pain de viande  simplissime,"peut on le manger froid ? s'il vous plait , merci ",autriche,Facile,1.63
Pain de viande  simplissime,"Ré&ponse à Annie du 5.07.2013 

Vous avez raison, j'ai aussi ajouter un oeuf supplémentaire",autriche,Facile,1.63
Pain de viande  simplissime,"Réponse à Annie su 05.07.2013OUI, bien sûr vous pouvez le manger froid avec de la salade garnie et aromatisée. Ce pâté se tient très bien comme un paté en croute normale que l'on mange froid. Sauf que notre  garniture est mailleure et vous savez de quoi votre paté est fait, et avec quel ingrédients !Moi, d'une fois sur l'autre, j'iautre. je rajouterais peut-etre un petit peu de vin blanc moëlleux et une pincée de noix de muscade..
Inover aussi et vous serez surprise de vos résultats.

La cuisine est comparable a savoir faire du vélo, une fois que vous avez les bases et des idées, vous vous perfectionnez toujours d'une fois sur l'autre.

Moi, j'aime cuisiner les plats faciles, que j'améliore toujours d'une fois sur l'autre.
UNE IDEE ME  VIENT = JE VAIS ESSAYER AVEC D'""AUTRES VIANDES
comme l'agneau, le canard, le porc ou une farce de hachis-parmentier.
Essayons. Nous verrons bien. A NOUS D'INNOVER et je parie que le résultat
sera surprenant.  Allons-Y. Bonsoir Annie.
J'ATTENDS VOTRE REPONSE-COMMENTAIRE...  Françoise.",autriche,Facile,1.63
Pain de viande  simplissime,"Je vais essayer, j'en avais fait un un jour avec du veau.Oui je pense que l'on peut remplacer par un peu de jus de tomate maison le ketchup ce n'en sera que meilleur !!!",autriche,Facile,1.63
Pain de viande  simplissime,svp peut-on remplacer le ketchup par un coulis de tomates?,autriche,Facile,1.63
Pain de viande  simplissime,je vous remercie pour la recette,autriche,Facile,1.63
Pain de viande  simplissime,excellent plat même si le ketchup est d'ailleurs,autriche,Facile,1.63
Pain de viande  simplissime,"Trés bon, mais le ketchup n'est pas algérien... A la place, de la harissa serait meilleure...",autriche,Facile,1.63
Pain de viande  simplissime,"cette recette n'est pas algérienne, mais américaine : meatloaf, très connue, là-bas.",autriche,Facile,1.63
Pain viennois ,Manquerez un peu de sucre pour un pain viennois ,autriche,Facile,0.58
Pain viennois ,Je ne peut pas voir les ingrédients il y a une pub en plein milieu ,autriche,Facile,0.58
Pain viennois ,"je remplace le beurre par de l'huile d'olive ,",autriche,Facile,0.58
Pain viennois ,"Pour une première tentative, vraiment pas mal !!Peut-être qu'il faudrait baisser un peu la quantité de levure... j'ai utilisé un sachet de 30g de levure de boulanger, et je trouve qu'on en ressent un peu le goût.
J'ai aussi baissé la quantité de sel comme conseillé dans les commentaires précédents : c'est très bien comme ça.


",autriche,Facile,0.58
Pain viennois ,"Très bonne recette, cependant, je l'ai réalisé une première fois avec de la levure chimique, très réussi mais la seconde fois, j'ai utilise de la levure boulangère et le pain était très compact, 0 tester de nouveau avec de la levure chimique. Merci.",autriche,Facile,0.58
Pain viennois ,"la pâte a bien levée mais a trop le gout de la levure, et l'intérieur n'est pas assez cuit . je conseille de mettre un peu moins de levure et de faire deux pains avec la pâte  au lieu d'un pour une meilleure cuisson",autriche,Facile,0.58
Pain viennois ,"la p&#226;te a bien lev&#233;e mais a trop le gout de la levure, et l'int&#233;rieur n'est pas assez cuit . je conseil de mettre un peu moins de levure et de faire deux pains avec la p&#226;te  au lieu d'un pour une meilleur cuisson",autriche,Facile,0.58
Petits feuilletés,Super simple a faire ... Et très bon !!!,autriche,Facile,0.9
Petits pains viennois,Résultat super pour cette recette. Si votre pâte est légèrement collante au pétrissage rajoutez un peu de farine petit à petit et elle va se décoller. Elle restera qd même molle et éventuellement collante. Je conseille de chemiser votre saladier qui va accueillir la pâte pour qu'elle gonfle. Pour cela repartir un peu d'huile et fariner légèrement le saladier avant de déposer la pâte et ainsi elle ne collera pas après avoir gonflée ,autriche,Facile,0.47
Petits pains viennois,Les œufs entier ou juste le jaune ,autriche,Facile,0.47
Petits pains viennois,Pain Rater ,autriche,Facile,0.47
Petits pains viennois,Jai fait la recette comme indiqué mais ma pâte reste collante impossible de la travailler quelqu'un peut m'aider à résoudre le problème merci ,autriche,Facile,0.47
Petits pains viennois,Je vais l.essaye,autriche,Facile,0.47
Petits pains viennois,J'aimerais les faire mais je n'ai qu'un cube de levure de boulangerie pouvez me dire combien sa fait en grammes merci ,autriche,Facile,0.47
Petits pains viennois,Un sachet de levure de boulanger fait 5 ou 7g et représente 21 g de levure en cube. Cdt,autriche,Facile,0.47
Petits pains viennois,"Un sachet de levure cela veut dire combien de grammes? Car je n'ai qu'un cube de 42 grammes de levure... Merci de m'aider, j'aimerai les faire demain matin!!",autriche,Facile,0.47
Petits pains viennois,Merci pour la recette je vais l'essayer mais j'aurai une question ; on peut avec de la farine type 45 ?,autriche,Facile,0.47
Petits pains viennois,Super recette. Une merveille ces petit pains que j'ai réalisé avec des pépites de chocolat au lait. On a meme plus envie d'acheter ceux du commerce!!,autriche,Facile,0.47
Petits pains viennois,Je voudrai savoir si vous avez eu aussi la pâte très collante ,autriche,Facile,0.47
Poivrons farcis au boeuf,Combien de cl pour le bouillon ,autriche,Facile,3.25
Poivrons farcis au boeuf,Et si on y ajoutait un peu de piment cerises frais venant d'Afrique ????,autriche,Facile,3.25
Ragoût de boeuf aux carottes et purée aux herbes,"J'aime beaucoup vos recettes de cuisine. Par contre vous ne mettez jamais les températures???? Pourquoi, est-ce un secret ou un oubli?",autriche,Facile,3.33
Ragoût de boeuf aux carottes et purée aux herbes,je l'ai faite cette recette et c'est un vrai régal mille merci pour cette recette je l'ai imprimer pour toujours l'avoir :),autriche,Facile,3.33
Ragoût de boeuf aux carottes et purée aux herbes,"Ce plat est vraiment delicieux ! J'ai servi avec des petites pates, excellent !",autriche,Facile,3.33
Ragoût de boeuf aux carottes et purée aux herbes,Je l'ai faites a midi et mon chéri et Bb d 1 ans adoré ,autriche,Facile,3.33
Ragoût de boeuf aux carottes et purée aux herbes,"Cette recette est très bonne, je n'ai pas fait la purée faute de temps, j'ai fait des coquillettes avec et c'est très sympa également avec la sauce. Tout le monde a adoré, même mes amis !",autriche,Facile,3.33
Ragoût de boeuf aux carottes et purée aux herbes,Remplacez le vin blanc par de la bière brune sucrée et ajoutez 1 cuil de moutarde délayée dans la sauce. Succès garanti,autriche,Facile,3.33
Ragoût de boeuf aux carottes et purée aux herbes,"Bonjour Elizabeth, Je crois que la viande un peu dure est plus une question de boucher qu'autre chose .",autriche,Facile,3.33
Ragoût de boeuf aux carottes et purée aux herbes,"Bonjour à tous! Il est en effet préférable de mixez les herbes ou de les hacher. Incorporez-les à la purée juste avant de servir!
Hélène
CuisineAZ",autriche,Facile,3.33
Ragoût de boeuf aux carottes et purée aux herbes,Euh!! on met quand les herbes  Faut-il les mixer ?,autriche,Facile,3.33
Ragoût de boeuf aux carottes et purée aux herbes,Viande un peu dure. Bon mais rien d'exceptionnel.,autriche,Facile,3.33
