"nom","niveau","comment","pays","comment_en"
"Boulettes de viande hachée","Facile","
        Elles sont meilleures que celles que je mange habituellement, je ne les ai pas pané et je les ai cuites au airfryer 13min à 180 degrés. Très bonnes je vais voir ce soir si mon mari aime !
    ","allemagne","They are better than the ones I usually eat, I didn't bread them and I cooked them in the air fryer for 13 minutes at 180 degrees. Very good, I'm going to see this evening if my husband likes it!"
"Boulettes de viande hachée","Facile","
        Très bon, elles ont eu du succès auprès de mon carnivore de mari ! Personnellement, je rajoute de la farce à la viande hachée, ça les rend un peu moins sèches.
    ","allemagne","Very good, they were a success with my carnivore husband! Personally, I add stuffing to the ground meat, it makes them a little less dry."
"Bretzel","Facile","
        Où sont les ingrédients ?
    ","allemagne","Where are the ingredients?"
"Bûche de Noël forêt noire","Intermédiaire","
        bonjour, quel moule à gâteau , quelle taille pour le moule ?
    ","allemagne","Hello, which cake mold, what size for the mold?"
"Choucroute simplissime","Facile","
        Si je puis me permettre, en tant qu'alsacienne: on fait une choucroute soit à la bière, soit au vin...mais sûrement pas en mélangeant les deux. Par ailleurs, les knacks se réchauffent tout simplement en les mettant 4-5 minutes dans une casserole d'eau bouillante (hors du feu, bien entendu).
    ","allemagne","If I may ask, as an Alsatian: we make sauerkraut either with beer or wine...but certainly not by mixing the two. Furthermore, the knacks are simply reheated by placing them in a pot of boiling water for 4-5 minutes (off the heat, of course)."
"Currywurst ou saucisses au curry allemandes","Facile","
        Très très acide ; on sent beaucoup trop le vinaigre et très peu le curry. Déçue. Je ne referai pas cette recette
    ","allemagne","Very very acidic; we smell too much vinegar and very little curry. Disappointed. I will not make this recipe again"
"Currywurst ou saucisses au curry allemandes","Facile","
        Je ne suis pas du tout persuadée que le résultat ressemblera à la Currywurst qu'on trouve partout à Berlin... Avec des saucisses de Francfort (Wiener Würste en Allemagne), ça aura plutôt une vague parenté avec une Bockwurst. Ce qu'on sert avec, ce serait plutôt une tranche de pain (Scheibe Mischbrot, seigle+froment) ou un petit pain (Schrippe ou Brötchen) ou encore de la salade de pommes de terre noyée dans une ""mayonnaise"" vaguement sucrée. Et du ketchup saupoudré de curry, ou encore de la moutarde douce (pour les Bockwürste).
    ","allemagne","I'm not at all convinced that the result will resemble the Currywurst that you find everywhere in Berlin... With Frankfurt sausages (Wiener Würste in Germany), it will rather have a vague resemblance to a Bockwurst. What we serve with it would rather be a slice of bread (Scheibe Mischbrot, rye+wheat) or a roll (Schrippe or Brötchen) or even potato salad drowned in a vaguely sweet ""mayonnaise"". And ketchup sprinkled with curry, or even mild mustard (for Bockwürste)."
"Desserts Allemands","Facile","
        Mmmm trop, trop bon; c'est parce que c'est allemand :p
    ","allemagne","Mmmm too much, too good; it's because it's german :p"
"Forêt noire","Difficile","
        Alors si vous voulez une forêt surtout n'allez pas sur ce site. Ici cette recette doit être mise pour nous prendre en piège le gâteau ne gonflent pas, il reste plat et pour la crème chantilly elle reste liquide. Nulle cette recette faut aller voir ailleurs 
    ","allemagne","So if you want a forest, don't go to this site. Here this recipe must be put to trap us the cake does not swell, it remains flat and for the whipped cream it remains liquid. This recipe is rubbish, look elsewhere"
"Forêt noire aux cerises noires","Intermédiaire","
        Je confirme l'avis de Jérôme .  Faire absorber avec 6 oeufs  :  la farine , le cacao , la poudre d'amande, la levure ,  le beurre fondu avec le sucre vanillé  .....Résultat  ?  une pâte dure , compacte à laquelle il faut mélanger  ""délicatement""  les blancs en neige !!!  Finalement un gâchis de 3 galettes très fermes garnies de bonne crème chantilly ! Pas convaincante du tout la recette !  à déconseiller .
    ","allemagne","I confirm Jérôme's opinion. Absorb with 6 eggs: flour, cocoa, almond powder, yeast, melted butter with vanilla sugar.....Result? a hard, compact dough into which you have to “delicately” mix the egg whites!!! Finally a mess of 3 very firm pancakes topped with good whipped cream! The recipe is not convincing at all! not recommended."
"Forêt noire aux cerises noires","Intermédiaire","
        En tant que novice, je déconseille cette recette... La génoise devient un crumble et ce n'est pas les oeufs en neige qui qui arrangent les choses. La génoise n'a pas monté. Trop de produits secs. Heureusement ma compagne a plus ou moins sauvé ce gâteau 
    ","allemagne","As a novice, I do not recommend this recipe... The sponge cake becomes a crumble and it is not the egg whites that fix things. The sponge cake did not rise. Too many dry products. Fortunately my partner more or less saved this cake"
"Forêt noire aux cerises noires","Intermédiaire","
        Très bon gâteau avec des framboises. Merci pour la recette 
    ","allemagne","Very good cake with raspberries. Thanks for the recipe"
"Forêt noire aux cerises noires","Intermédiaire","
        Je défie quiconque sur cette recette : vous n'obtiendrez qu'un ""crumble"" au chocolat avant même d'attaquer la crème. La recette de la génoise est fausse. C'est très sec et dur. Débutant, j'ai perdu mon temps, des œufs, du sucre, ... déçu de ne pas avoir eu ma foret noire pour mon anniversaire. Nulle cette ""recette"".
    ","allemagne","I challenge anyone on this recipe: you will only get a chocolate “crumble” before you even start the cream. The recipe for the sponge cake is wrong. It's very dry and hard. As a beginner, I wasted my time, eggs, sugar,... disappointed not to have had my black drill for my birthday. This “recipe” is worthless."
"Forêt noire aux cerises noires","Intermédiaire","
        Tout à fait d'accord; en suivant la recette je n'ai obtenu que 3 galettes sèches et presque brulées d'à peine 1/2 cm d'épaisseur
    ","allemagne","Totally agree; by following the recipe I only obtained 3 dry and almost burnt pancakes barely 1/2 cm thick"
"Forêt noire aux cerises noires","Intermédiaire","
        Deux monuments de la patisserie ! D'abord la Génoise puis la crème chantilly pour donner ce gateau aromatisé au Kirsch ! A ce damner ! 
    ","allemagne","Two monuments of pastry making! First the Genoise then the whipped cream to give this cake flavored with Kirsch! To be damned!"
"Forêt noire aux cerises noires","Intermédiaire","
        Perso je préfère la version originale, donc alcoolisée ! 
    ","allemagne","Personally I prefer the original version, so alcoholic!"
"Forêt noire aux cerises noires","Intermédiaire","
        L'étape 3 est un vrai problème, le mélange est beaucoup trop solide et les blancs en neige se cassent dessus.  Grosse déception pour la génoise, à voir après cuisson mais elle ne sera pas homogène et sûrement pas aérée.
    ","allemagne","Step 3 is a real problem, the mixture is much too solid and the egg whites break on it. Big disappointment for the sponge cake, to see after cooking but it will not be homogeneous and certainly not airy."
"Forêt noire aux cerises noires","Intermédiaire","
        L’équipe de CuisineAZ vous informe que vos commentaires ont bien été pris en compte pour améliorer cette recette! Nous espérons qu’elle vous plaira! Ce serait très sympa de la commenter quand vous l’aurez testée à nouveau! Merci beaucoup!
    ","allemagne","The CuisineAZ team informs you that your comments have been taken into account to improve this recipe! We hope you like it! It would be very nice to comment on it when you have tested it again! Thank you so much!"
"Forêt noire aux cerises noires","Intermédiaire","
        Je ne suis pas à ma première tentative, mais grâce à votre recette j'ai pu la réaliser sans trop de difficulté. J'ai aussi rajouté du chocolat blanc sur le dessus, vue que j'en avait dans le placard. Merci pour la recette.
    ","allemagne","This is not my first attempt, but thanks to your recipe I was able to make it without too much difficulty. I also added white chocolate on top, since I had some in the cupboard. Thanks for the recipe."
"Forêt noire aux cerises noires","Intermédiaire","
        Je ne suis pas fan de la Forêt Noire mais celle-ci me donne particulièrement envie de tester la recette ! 
    ","allemagne","I'm not a fan of the Black Forest but this one particularly makes me want to try the recipe!"
"Forêt noire aux cerises noires","Intermédiaire","
        Ooooh la belle photo ! Et quand on regarde bien, ce n'est pas si difficile de faire une forêt noire ! Tous aux fourneaux ! 
    ","allemagne","Ooooh what a beautiful photo! And when you look closely, it's not that difficult to make a black forest! Everyone in the kitchen!"
"Forêt noire aux cerises noires","Intermédiaire","
        Bonne recette mais je ne suis pas trop fan de ce genre de gâteau. Les saveurs me plaisent mais je pense que je vais le revisiter.
    ","allemagne","Good recipe but I'm not really a fan of this type of cake. I like the flavors but I think I'll revisit it."
"Forêt noire aux cerises noires","Intermédiaire","
        un dessert finalement plus facile à faire qu'il n'y parait , à essayer aussi la version forêt blanche , avec une génoise nature et du chocolat blanc
    ","allemagne","a dessert ultimately easier to make than it seems, also try the white forest version, with a plain sponge cake and white chocolate"
"Forêt noire aux cerises noires","Intermédiaire","
        Très beau et bon gâteau, je réalise une génoise un peu plus light: avec de la farine complète, du sirop d'agave pour alléger la pâte. J'adore ce dessert!
    ","allemagne","Very beautiful and good cake, I make a slightly lighter sponge cake: with wholemeal flour and agave syrup to lighten the dough. I love this dessert!"
"Forêt noire aux cerises noires","Intermédiaire","
        Ce gâteau est un classique et obtient toujours beaucoup de succès. Bien fait il reste très léger en fin de repas. J'aime y mettre de la chantilly sur les bords et le dessus, je garni l'intérieur de cerises liées pour avoir plus de fruits. 
Pour une version sans alcool, n'hésitez pas à utiliser le jus des cerises dans un petit sirop de sure très léger.
    ","allemagne","This cake is a classic and always a great success. Well done, it remains very light at the end of the meal. I like to put whipped cream on the edges and top, I garnish the inside with tied cherries for more fruit. For a non-alcoholic version, don't hesitate to use the cherry juice in a little very light sour syrup."
"Forêt noire aux cerises noires","Intermédiaire","
        Très joli gâteau.. à tester rapidement.
    ","allemagne","Very pretty cake...to try quickly."
"Forêt noire aux cerises noires","Intermédiaire","
        J' aime en faire quand j'ai un peu de temps
Pour varier j' ajoute un peu de chocolat fondu dans la chantilly, mais pas trop pour ne pas faire retomber la chantilly. Et je fais une chantilly classique. Je fais des gros points en alternant les deux chantillys
Je ne mets pas d' alcool mais le sirop des cerises
    ","allemagne","I like to make it when I have a little time For variety I add a little melted chocolate to the whipped cream, but not too much so as not to cause the whipped cream to fall. And I make a classic whipped cream. I make big dots by alternating the two whipped creams I don't add alcohol but cherry syrup"
"Forêt noire aux cerises noires","Intermédiaire","
        aussi beau que bon, il parait compliquer à faire, mais  c'est faut,  ce gâteau est tellement facile a réalisé, il suffit de réalisé une bonne génoise et le tours est joué
    ","allemagne","as beautiful as it is delicious, it seems complicated to make, but it's necessary, this cake is so easy to make, you just need to make a good sponge cake and that's it."
"Forêt noire aux cerises noires","Intermédiaire","
        Superbe , un dessert qui a toujours du succès quand je le fais.... tout le monde quasiment craque pour le chocolat
    ","allemagne","Superb, a dessert that is always a success when I make it.... almost everyone falls for chocolate"
"Forêt noire aux cerises noires","Intermédiaire","
        Très jolie réalisation. Je prendrais volontiers une part, mais sans alcool pour moi.
    ","allemagne","Very nice creation. I would happily take a slice, but without alcohol for me."
"Forêt noire aux cerises noires","Intermédiaire","
        Bravo pour cette superbe recette ! Avec des cerises au sirop Amarena, ça ne doit rien gâter !
    ","allemagne","Congratulations for this superb recipe! With cherries in Amarena syrup, it shouldn't spoil anything!"
"Forêt noire maison","Intermédiaire","
        Peut-être mais attention aux fautes.
    ","allemagne","Maybe, but watch out for mistakes."
"Forêt noire maison","Intermédiaire","
        je suis un ancien patissier je peut certifier que cette recettes na rien a voir avec une foret noires merci d avoir mis cette recette pour mon anniversaire mdr 
    ","allemagne","I am a former pastry chef I can certify that this recipe has nothing to do with a black forest thank you for putting this recipe for my birthday lol"
"Forêt noire maison","Intermédiaire","
        Peut on faire le gâteau la veille pour le lendemain? 
J'ai peur que la chantilly devienne liquide ? 
    ","allemagne","Can we make the cake the day before for the next day? I'm afraid the whipped cream will become liquid?"
"Galettes de pommes de terre à l'allemande","Facile","
        J ai ajouté des oignons râpée délicieux 
    ","allemagne","I added delicious grated onions"
"Galettes de pommes de terre à l'allemande","Facile","
        il manque la noix de muscade ! si vous y ajouté 1 cuillère d'eau pétillante elle serront meilleur ( mais pas obliger )

    ","allemagne","Nutmeg is missing! if you add 1 spoon of sparkling water it will be better (but not obligatory)"
"Galettes de pommes de terre à l'allemande","Facile","
        Sympas ces petites galettes ! Je les ai testé ce soir ""telles quelles"", mais la prochaine fois, j'ajouterai du fromage aussi...
En tous cas, elles sont déjà très bonnes comme ça !
    ","allemagne","Love these little pancakes! I tested them this evening ""as is"", but next time, I will add cheese too... In any case, they are already very good like that!"
"Galettes de pommes de terre à l'allemande","Facile","
        Bonjour! moi j'ajoute aussi du gruyère dans la pate et mange ces galettes avec du munster! Repas chaleureux garanti
    ","allemagne","Good morning! I also add gruyere to the dough and eat these pancakes with munster cheese! Warm meal guaranteed"
"Galettes de pommes de terre à l'allemande","Facile","
        C'est délicieux ! A essayer avec de la compote de pommes en accompagnement.
    ","allemagne","It is delicious ! Try it with applesauce on the side."
"Kartoffelsalat","Facile","
        Une recette plus familiale que festive, me semble-t-il... Au fait, les oeufs n'ayant pas d'écailles,, on ne peut pas les écailler... Donc, on les écale  ! 
    ","allemagne","A recipe more family than festive, it seems to me... By the way, eggs don't have scales, we can't peel them... So, we peel them!"
"Salade de pommes de terre froide","Facile","
        Bonjour,
Une petite urgence si quelqu'un me lis... j'ai commencé la recette, mais faut il à un moment donner égoutter le vin blanc des pommes de terre?? (au bout des 3h?)
d'avance merci et bon dimanche
    ","allemagne","Good morning, A little emergency if anyone reads me... I started the recipe, but do we have to drain the white wine from the potatoes at some point?? (after 3 hours?) thank you in advance and have a good Sunday"
"Salade de pommes de terre froide","Facile","
        Pour un goût meilleur je cuis les pommes de terre à la vapeur sans les éplucher .
    ","allemagne","For a better taste I steam the potatoes without peeling them."
"Salade de pommes de terre froide","Facile","
        excellente salade de pomme de terre je l ai fait pour accompagner avec du poisson
    ","allemagne","excellent potato salad I made it to accompany fish"
"Salade de pommes de terre froide","Facile","
        L’équipe de CuisineAZ vous remercie pour vos commentaires sur cette recette! Grâce à vous, nous avons amélioré cette recette! Il ne vous reste plus qu’à la cuisiner et à laisser votre avis à nouveau! On compte sur vous!
    ","allemagne","The CuisineAZ team thanks you for your comments on this recipe! Thanks to you, we have improved this recipe! All you have to do is cook it and leave your opinion again! We count on you!"
"Salade de pommes de terre froide","Facile","
        Accompagnez votre rôti de poulet d'une salade de pommes de terre froide et vous m'en direz des nouvelles! :)
    ","allemagne","Accompany your roast chicken with a cold potato salad and you'll tell me all about it! :)"
"Salade de pommes de terre froide","Facile","
        Facile et excellent. Je l'ai fait pour accompagner un barbecue. C'était une belle réussite!
    ","allemagne","Easy and excellent. I made it to accompany a barbecue. It was a great success!"
"Salade de pommes de terre froide","Facile","
        Très bonne recette. J'ai dégusté cette salade de pommes de terre froide avec des tomates, du thon, du concombre et de la ciboulette.
    ","allemagne","Very good recipe. I enjoyed this cold potato salad with tomatoes, tuna, cucumber and chives."
"Salade de pommes de terre froide","Facile","
        Excellente salade de pommes de terre que l'on peut servir en accompagnement avec de nombreuses viandes et avec du poisson.
    ","allemagne","Excellent potato salad that can be served as an accompaniment to many meats and fish."
"Salade de pommes de terre froide","Facile","
        Ma maman nous faisait souvent de la salade de pomme de terre froide et j'adorais en manger. Je vais donc en faire moi aussi en suivant la recette et en espérant que mon plat soit aussi savoureux que le sien.
    ","allemagne","My mom often made us cold potato salad and I loved eating it. So I'm going to make some too, following the recipe and hoping that my dish will be as tasty as his."
"Salade de pommes de terre froide","Facile","
        C'est super bon et frais. La salade de pommes de terre froide en entrée lors d'un déjeuner.
    ","allemagne","It's super good and fresh. Cold potato salad as a starter for lunch."
"Salade de pommes de terre froide","Facile","
        Plat convivial, simple à cuisiner, que les enfants ont beaucoup aimé. 
    ","allemagne","Friendly dish, simple to cook, which the children really liked."
"Salade de pommes de terre froide","Facile","
        Moi je vais accompagner mon rôti de porc d'une salade de pommes de terre froide et d'une salade de roquette. Succès garanti!
    ","allemagne","I will accompany my roast pork with a cold potato salad and an arugula salad. Guaranteed success!"
"Salade de pommes de terre froide","Facile","
        Je vais tenter cette recette la semaine prochaine et je compte l'accompagner d'un jarret de porc et d'un bon vin. J'espère épater la famille avec ce plat.
    ","allemagne","I'm going to try this recipe next week and I plan to accompany it with a pork knuckle and a good wine. I hope to impress the family with this dish."
"Salade de pommes de terre froide","Facile","
        Idéal pour les jours d'été. J'aime bien accompagner cette petite salade d'oeufs durs et d'échalotes.
    ","allemagne","Ideal for summer days. I like to accompany this little salad with hard-boiled eggs and shallots."
"Salade de pommes de terre froide","Facile","
        Moi, je fais cette recette depuis longtemps et j'y ajoute divers ingrédients selon l'inspiration du moment. Pour le vin, nul besoin d'utiliser du Riesling !... Je fais cette salede avec un vin de table bon marché et le résultat est plus que satisfaisant
    ","allemagne","I have been making this recipe for a long time and add various ingredients depending on the inspiration of the moment. For the wine, no need to use Riesling!... I make this salad with an inexpensive table wine and the result is more than satisfactory"
"Salade de pommes de terre froide","Facile","
        J'ajoute du basilic et de l'ail...
    ","allemagne","I add basil and garlic..."
"Salade de pommes de terre froide","Facile","
        Je fais aussi cette salade mais j'y ajoute des oeufs durs !!! Un délice !
    ","allemagne","I also make this salad but I add hard-boiled eggs!!! A delight!"
"Salade de pommes de terre froide","Facile","
        Bonjour je vai essayer de faire la salade mai lail on le co7pe comment et on le mai kan svp merci de me repondre asser vite merciiiiiiii
    ","allemagne","Hello I'm going to try to make the salad but let's co7pe it how and we can please answer me quickly thank you"
"Salade de pommes de terre froide","Facile","
        Tout à fait d'accord (je suis vosgienne). En hiver, on peut y ajouter du cervelas coupé en rondelles.
    ","allemagne","Completely agree (I'm from Vosges). In winter, you can add cervelas cut into slices."
"Salade de pommes de terre froide","Facile","
        Pour revenir à mon commentaire précédent sur ""l'alsaciennisation"" de la recette, remplacer l'huile d'olive par de l'huile de pépins de raisin pour faire plus couleur locale !
    ","allemagne","To return to my previous comment on the ""Alsatianization"" of the recipe, replace the olive oil with grapeseed oil to add more local color!"
"Salade de pommes de terre froide","Facile","
        Pour donner un côté ""alsacien"" à cette salade de pommes de terre, ajouter à la vinaigrette des échalotes hachées et des cornichons découpés en rondelles. Cette recette avec la base de marinade dans le vin blanc (Riesling là-bas bien sûr...) m'a été donnée par une alsacienne lors d'un séjour dans cette belle région de France.
    ","allemagne","To give an “Alsatian” touch to this potato salad, add chopped shallots and sliced ​​gherkins to the vinaigrette. This recipe with the marinade base in white wine (Riesling there of course...) was given to me by an Alsatian during a stay in this beautiful region of France."
"Sauce allemande","Facile","
        Avec quoi servez-vous cette sauce ?
    ","allemagne","What do you serve this sauce with?"
"Schwobenbradele ou petits sablés allemands maison","Intermédiaire","
        Amandes moulues = poudre d'amande ou juste concassées ? Le résultat n'est pas le même !
    ","allemagne","Ground almonds = almond powder or just crushed? The result is not the same!"
"Schwobenbradele ou petits sablés allemands maison","Intermédiaire","
        Amandes moulues avec la peau (râpe grille fine robot)
    ","allemagne","Ground almonds with skin (fine robot grater)"
"Semmelknödel (boulettes de pain allemandes)","Facile","
        Bonjour a tous, fait avec du lait de coco et de la persillade. Grillé à la plancha en galette. Tout le monde a apprécié. Merci pour cette recette.
    ","allemagne","Hello everyone, made with coconut milk and parsley. Grilled on the plancha in pancake form. Everyone appreciated it. Thank you for this recipe."
"Strudel aux pommes","Facile","
        Etant allergique à l'amande, je la remplacerai par de la noisette. Autrement, j'aimerais bien l'essayer.
    ","allemagne","Being allergic to almonds, I will replace it with hazelnuts. Otherwise, I would love to try it."
"Strudel aux pommes","Facile","
        Recette parfaite, 

Vite fait bien fait !
Parfaitement partagée ! 
    ","allemagne","Perfect recipe,  Quickly done well done ! Perfectly shared!"
"Strudel aux pommes","Facile","
        Pour le pliage : j'ai mis l'appareil au centre en forme de rectangle, puis ave un couteau fait des lanières de chaque coté , que j'ai redisposé par dessus l'appareil, puis enduit de jaunes d'œuf.
    ","allemagne","For folding: I put the device in the center in the shape of a rectangle, then with a knife made strips on each side, which I rearranged on top of the device, then coated with egg yolks."
"Strudel aux pommes","Facile","
        J'adore la cuisine et encore plus la pâtisserie... mais j'avais tellement peur de me lancer avec le strudel.. cette pâte hyper difficile à faire.  Mais il faut se lancer et hop ! Que c'est bon ! J'ai concocté ma petite version, sans crème fraîche et au lieu des amandes je rajoute des noix. J'ai fait un petit mélange avec la recette que j'ai trouvé sur ce blog de voyage https://www.leglobetrotteur.fr/magazine/recette-strudel-aux-pommes/

Bon appétit
    ","allemagne","I love cooking and even more so baking... but I was so afraid to try strudel... this super difficult dough to make. But you have to get started and presto! It's good ! I concocted my own little version, without crème fraîche and instead of almonds I added walnuts. I made a little mixture with the recipe that I found on this travel blog https://www.leglobetrotteur.fr/magazine/recette-strudel-aux-pommes/  Enjoy your food"
"Strudel aux pommes","Facile","
        pas nécessaire de badigeonner avec jaune d oeuf, mais plutôt beurre
cela cuit au debut comme une omelette
    ","allemagne","no need to brush with egg yolk, but rather butter it cooks at first like an omelette"
"Strudel aux pommes","Facile","
        JE ne comprend pas le pliage
    ","allemagne","I don't understand folding"
"Strudel aux pommes","Facile","
        Bonjour, je voudrais faire cette recette mais je n'ai pas compris le principe du pliage de la pâte.
Pouvez m'expliquer cette phase de la recette ?
    ","allemagne","Hello, I would like to make this recipe but I did not understand the principle of folding the dough. Can you explain this phase of the recipe to me?"
"Strudel aux pommes","Facile","
        Étendre le mélange de pomme et de raisins secs sur la moitié inférieure du Étalez la pâte en un rectangle en laissant environ 2 cm d'espace le long des bords latéraux. Plier la moitié supérieure de la pâte feuilletée et pincer pour sceller les bords ensemble.
    ","allemagne","Spread the apple and raisin mixture over the bottom half of the dough. Roll out the dough into a rectangle, leaving about 2cm of space along the side edges. Fold the top half of the puff pastry and pinch to seal the edges together."
"Strudel aux pommes","Facile","
        je le fais souvent et c'est toujours un succes
    ","allemagne","I do it often and it’s always a success."
"Strudel aux pommes","Facile","
        super recette! 
    ","allemagne","great recipe!"
"Strudel aux pommes Apfelstrudel","Facile","
        Quelle taille et quelle espèce de pommes ? En tout cas les quantités des ingrédients étaient bien trop faibles pour mes 3 pommes. Et il manque le jus de citron pour éviter aux lamelles de pommes de s'oxyder. 
    ","allemagne","What size and type of apples? In any case the quantities of ingredients were far too low for my 3 apples. And the lemon juice is missing to prevent the apple slices from oxidizing."
"Linzertorte ou tarte Linz","Facile","
        Je suis satisfait de ma recherche comme ceci, je pourrai la transmettre à mon boulanger.
    ","autriche","I am satisfied with my research so I can pass it on to my baker."
"Pain de viande  simplissime","Facile","
        Un délice, j'ai mis de la biscotte au blé  complet à la place du pain de mie. Merci pour cette recette.
    ","autriche","A delight, I put whole wheat rusk instead of sandwich bread. Thank you for this recipe."
"Pain de viande  simplissime","Facile","
        Un grand merci pour ces commentaires sur cette recette! L’équipe de CuisineAZ a travaillé sur cette recette pour que vous puissiez vous régaler et partager cette recette en famille ou entre amis avec encore plus de plaisir! On attend vos nouveaux commentaires!
    ","autriche","Many thanks for these comments on this recipe! The CuisineAZ team worked on this recipe so that you can enjoy and share this recipe with family or friends with even more pleasure! We are waiting for your new comments!"
"Pain de viande  simplissime","Facile","
        très bon mais moi perso, je place deux ou trois oeufs durs (selon la taille du pain de viande ) à l'intérieur avec qques tranches de jambon cru sur le dessus et ensuite je le roule et le cuit comme il est dit , surprise assurée !!!!
    ","autriche","very good but for me personally, I place two or three hard-boiled eggs (depending on the size of the meatloaf) inside with a few slices of raw ham on top and then I roll it and cook it as it is said, surprise guaranteed !!!!"
"Pain de viande  simplissime","Facile","
        Pour ma part facile, un peu long en préparation et pas chère.
Le ketchup par contre, je l'ai préparé maison avec du concentré de tomate, que j'agrémente à mon gout, et que je peux épicer à mon gout.

Le plat au moment ou je vous écris est au four, et il me tarde de le gouter.

En tous cas, cru, déjà, c'est tout simplement hummmm.
Donc cuit, j'ose imaginer ce gout subtil.

Merci pour cette simple mais très bonne recette.
    ","autriche","For my part easy, a little long in preparation and not expensive. The ketchup on the other hand, I prepared it at home with tomato paste, which I add to my taste, and which I can spice up to my taste.  The dish as I write to you is in the oven, and I can't wait to taste it.  In any case, raw, already, it's simply hummmm. So cooked, I dare to imagine this subtle taste.  Thank you for this simple but very good recipe."
"Pain de viande  simplissime","Facile","
        avec des pâtes et de la sauce tomate sa serais tres bon aussi en accompagnement.
    ","autriche","with pasta and tomato sauce it would also be very good as an accompaniment."
"Pain de viande  simplissime","Facile","
        Bonjour
j'ai trouvé la recette bonne mais j' ai rajouté  1 oeuf,du cumin ,et du paprika 
    ","autriche","Good morning I found the recipe good but I added 1 egg, cumin, and paprika"
"Pain de viande  simplissime","Facile","
        se plat se fait aussi avec du veau rien de nouveaux a l ouest recettes des annee 1970 dans les livres des super boites en plastiques
    ","autriche","the dish is also made with veal nothing new in the west recipes from the 1970s in the books of the super plastic boxes"
"Pain de viande  simplissime","Facile","
        Perso je mélange avec le bœuf haché un peu de chair à saucisse et je prépare une sauce béchamel au fromage pour napper.
    ","autriche","Personally, I mix a little sausage meat with the ground beef and prepare a cheese béchamel sauce to top."
"Pain de viande  simplissime","Facile","
        je fais depuis 35 ans une recette similaire: reste de rôti (quelque soit la bête), avec ail, plein d'herbes, plus d'oeufs, ça fait un peu soufflé épais, et servi chaud avec un coulis de tomates fraîches. Avec une salade, voir du riz si vous avez des ogres à table, c'est un repas complet et équilibré!
    ","autriche","I have been making a similar recipe for 35 years: leftover roast (whatever the animal), with garlic, lots of herbs, more eggs, it makes a bit of a thick soufflé, and served hot with a fresh tomato coulis. With a salad, or even rice if you have ogres at the table, it's a complete and balanced meal!"
